LN_LOANS,DATE,LOANS
3.288401888,Jan-72,26.8
3.314186005,Feb-72,27.5
3.321432413,Mar-72,27.7
3.346389145,Apr-72,28.4
3.411147713,May-72,30.3
3.424262655,Jun-72,30.7
3.45946629,Jul-72,31.8
3.46260601,Aug-72,31.9
3.45946629,Sep-72,31.8
3.490428515,Oct-72,32.8
3.517497837,Nov-72,33.7
3.563882964,Dec-72,35.3
3.650658241,Jan-73,38.5
3.6558396,Feb-73,38.7
3.673765816,Mar-73,39.4
3.673765816,Apr-73,39.4
3.666122467,May-73,39.1
3.666122467,Jun-73,39.1
3.660994251,Jul-73,38.9
3.693866996,Aug-73,40.2
3.666122467,Sep-73,39.1
3.686376324,Oct-73,39.9
3.706228092,Nov-73,40.7
3.673765816,Dec-73,39.4
3.6558396,Jan-74,38.7
3.698829785,Feb-74,40.4
3.728100167,Mar-74,41.6
3.673765816,Apr-74,39.4
3.703768067,May-74,40.6
3.701301974,Jun-74,40.5
3.703768067,Jul-74,40.6
3.703768067,Aug-74,40.6
3.668676747,Sep-74,39.2
3.658420247,Oct-74,38.8
3.671224519,Nov-74,39.3
3.624340933,Dec-74,37.5
3.668676747,Jan-75,39.2
3.693866996,Feb-75,40.2
3.693866996,Mar-75,40.2
3.676300672,Apr-75,39.5
3.678829118,May-75,39.6
3.660994251,Jun-75,38.9
3.696351469,Jul-75,40.3
3.735285827,Aug-75,41.9
3.78191432,Sep-75,43.9
3.779633817,Oct-75,43.8
3.765840495,Nov-75,43.2
3.824284091,Dec-75,45.8
3.790984677,Jan-76,44.3
3.751854253,Feb-76,42.6
3.768152635,Mar-76,43.3
3.808882247,Apr-76,45.1
3.839452313,May-76,46.5
3.83081295,Jun-76,46.1
3.871201011,Jul-76,48
3.858622229,Aug-76,47.4
3.925925911,Sep-76,50.7
3.931825633,Oct-76,51
3.919991175,Nov-76,50.4
3.970291914,Dec-76,53
3.943521673,Jan-77,51.6
3.925925911,Feb-77,50.7
3.939638173,Mar-77,51.4
